,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
884,588,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.2823295991888112,1.1844849697830707e-05,0.5,0.5,1
885,589,gnql,0.0,0.0,0.0,0.17954261766816138,0.0,1.0,0.0,0
886,590,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
887,591,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
889,592,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
896,596,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
897,597,gnql,0.0,0.0,0.0,0.13578883501642755,0.0,1.0,0.0,0
898,598,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
899,599,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
900,600,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
902,602,gnql,0.0,0.0,0.0,0.15563139074441446,0.0,1.0,0.0,0
903,603,gnql,0.0,0.0,0.0,0.15126107008403927,0.0,1.0,0.0,0
904,604,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
905,605,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
906,606,gnql,0.0,0.0,0.0,0.13578883501642755,0.0,1.0,0.0,0
907,607,gnql,0.0,0.0,0.0,0.1147548783282022,0.0,1.0,0.0,0
908,608,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
909,609,gnql,0.0,0.0,0.0,0.1766653474326398,0.0,1.0,0.0,0
2,1,riot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5,2,riot,0.008547008547008548,0.05982905982905984,0.0,0.13578883501642755,1.0768045179846097e-06,0.5,0.5,-1
7,3,riot,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
12,5,riot,0.008547008547008548,0.025641025641025644,0.0,0.04087651241621224,0.0,1.0,0.0,0
16,6,riot,0.017094017094017096,0.17948717948717952,0.0,0.09491232260021532,1.794674196641016e-07,0.6666666666666666,0.4714045207910317,-1
18,7,riot,0.017094017094017096,0.20512820512820515,0.0,0.12957547867991828,1.0768045179846097e-06,0.3333333333333333,0.4714045207910317,-1
20,8,riot,0.017094017094017096,0.07692307692307693,0.004273504273504274,0.06478773933995914,0.0,1.0,0.0,0
23,9,riot,0.025641025641025644,0.47008547008547014,0.0,0.08175302483242448,0.0,1.0,0.0,-1
25,10,riot,0.13675213675213677,0.3247863247863248,0.007597340930674264,0.21899804103727388,1.6152067769769145e-06,0.15686274509803924,0.2471590902116214,-1
27,11,riot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
30,13,riot,0.03418803418803419,0.20512820512820515,0.0,0.12262953724863672,3.589348393282032e-07,0.3,0.39999999999999997,-1
34,14,riot,0.07692307692307693,0.15384615384615385,0.005698005698005699,0.5519537519930406,0.0008971576309008439,0.2320264052810562,0.35836661830614347,-1
36,15,riot,0.09401709401709403,0.33333333333333337,0.006105006105006104,0.2341374115800287,2.1536090359692194e-06,0.28472222222222227,0.31265428290251196,-1
38,16,riot,0.051282051282051294,0.27350427350427353,0.0014245014245014252,0.13578883501642755,1.794674196641016e-07,0.42857142857142855,0.49487165930539345,-1
41,17,riot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43,18,riot,0.05982905982905984,0.05982905982905984,0.05982905982905984,0.6774825681886885,0.0054220696828918375,0.3017013107374553,0.3300154714396557,-1
45,19,riot,0.042735042735042736,0.07692307692307693,0.017094017094017096,0.32221495647980847,1.2742186796151214e-05,0.3708920187793427,0.33838661224962235,-1
